code	name	group	energy_kcal	protein_g	carbs_g	sugars_g	fat_g	sat_fat_g	fiber_g	sodium_mg
24999	Dessert (aliment moyen)		255	4,41	32,9	21,3	11,3	4,96	1,7	130
8406	Salade de museau de porc, avec sauce, préemballée	salades composées et crudités	172	8,51	0,89	0,64	14,8	3,59	0,75	700
8407	Salade de cervelas, avec sauce, préemballée	salades composées et crudités	259	7,6	1,93	1,29	24,2	6,23	1,28	-
25600	Salade de céleri rémoulade, préemballée	salades composées et crudités	114	0,94	3,14	1,8	10,2	0,94	2,2	469
25601	Salade de thon et légumes, appertisée	salades composées et crudités	117	9,15	8,13	3,63	4,7	0,56	2,7	445
25602	Salade composée avec viande ou poisson, appertisée	salades composées et crudités	110	8,06	6,4	1,9	5,3	0,3	2	381
25605	Champignons à la grecque, préemballés	salades composées et crudités	76,3	2,07	3,53	2,33	5,47	0,4	2,35	500
25606	Salade de pommes de terre, faite maison	salades composées et crudités	127	2,68	9,9	-	8,2	1,43	1,3	529
25608	Taboulé ou salade de semoule aux légumes, préemballé	salades composées et crudités	179	4,88	23,7	4,9	6,7	0,67	2,5	399
25609	Salade de pomme de terre à la piémontaise, préemballée	salades composées et crudités	130	4,5	8,87	1,2	8,3	0,82	< 0,5	433
25610	Salade de museau de boeuf, avec sauce, préemballée	salades composées et crudités	118	11,7	0,8	0,6	7,6	1,1	traces	634
25614	Salade de riz, appertisée	salades composées et crudités	127	5,13	16,1	1	4,35	0,53	1,7	431
25615	Salade de pâtes au fromage et légumes, avec sauce	salades composées et crudités	119	4,4	13,7	2,1	4,8	1,4	1,7	51
25619	Salade de pâtes aux légumes et poisson ou viande, avec sauce, préemballée	salades composées et crudités	160	6,24	14,2	1,59	8,24	1,59	1,96	378
25626	Macédoine de légumes en salade, avec sauce, préemballée	salades composées et crudités	129	2,5	3,47	1,56	10,7	0,78	4	395
25628	Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée	salades composées et crudités	151	8,13	4,88	1,71	10	2,36	2	301
25629	Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée	salades composées et crudités	168	3,79	17,4	4,61	8,3	0,92	3,3	309
25642	Salade de céleri et carotte rémoulade, préemballée	salades composées et crudités	79,6	1	5,43	3,63	5,33	0,36	3	-
25664	Salade de pomme de terre au thon, préemballée	salades composées et crudités	124	5,57	8,13	0,73	7,7	1	-	-
25665	Salade de pomme de terre à la saucisse, préemballée	salades composées et crudités	156	3,08	8,75	0,9	11,6	2,13	2,1	-
25666	Salade composée à base de crudités, charcuterie et fromage, avec sauce, préemballée	salades composées et crudités	153	7,45	4,96	2,63	10,9	3,29	2,43	-
25667	Salade composée à base de crudités et produits de la mer, avec sauce, préemballée	salades composées et crudités	120	4,78	7,58	2,5	7,5	0,68	1,6	-
25668	Salade composée à base de crudités, oeuf et produits de la mer, avec sauce, préemballée	salades composées et crudités	108	4,76	3,77	2,04	7,57	1	2,8	-
25669	Salade composée à base de crudités, poulet et fromage, avec sauce, préemballée	salades composées et crudités	150	7,13	5,28	1,69	10,8	2,44	1,57	210
25670	Salade composée à base de crudités et poulet, avec sauce, préemballée	salades composées et crudités	88	4,13	4,28	2,85	5,35	0,75	3,1	-
26257	Salade de carottes râpées, avec sauce, préemballée	salades composées et crudités	74,2	0,84	5,67	4,73	4,77	0,43	2,61	264
26258	Salade de betterave, avec sauce, préemballée	salades composées et crudités	59,4	1,44	5,11	4,96	3	0,32	2,7	320
26259	Salade de chou et carotte ou coleslaw, avec sauce, préemballée	salades composées et crudités	105	0,94	5,78	4,72	8,1	0,63	3	353
26260	Salade de concombre à la crème/fromage blanc, préemballée	salades composées et crudités	77,9	1,06	0,58	0,58	7,5	1	1,5	394
26261	Salade de lentilles et saucisse fumée, préemballée	salades composées et crudités	177	7	8,9	0,9	11,8	0,9	3,6	355
26262	Salade grecque, avec sauce, préemballée	salades composées et crudités	81,5	2	1,4	1,4	7,1	2,7	2	416
26263	Salade de riz au thon et légumes, avec sauce, préemballée	salades composées et crudités	145	5,08	16,8	1,54	5,98	0,76	1,77	300
26269	Taboulé ou salade de semoule au poulet, préemballé	salades composées et crudités	176	5,9	20,1	2,63	7,45	0,88	2,47	424
26276	Salade de pâtes au surimi, avec sauce, préemballée	salades composées et crudités	208	4,19	14,1	1,07	14,5	1,21	1,7	399
26277	Salade Alaska au surimi, ananas, carottes, avec sauce, préemballée	salades composées et crudités	170	3,81	7,12	3,36	13,4	1,03	2,3	551
26278	Salade de pâtes au poulet, fromage et crudités, avec sauce, préemballée	salades composées et crudités	175	8,19	12,4	1,46	9,5	1,87	2,2	349
26279	Salade de pâtes aux poulet, oeuf, fromage et crudités, avec sauce, préemballée	salades composées et crudités	167	8,19	12,4	1,93	8,7	1,93	2,2	218
26280	Salade de pâtes au jambon cru, fromage et crudités, avec sauce, préemballée	salades composées et crudités	191	7,31	15,1	2,06	10,6	2,15	2,2	230
26281	Salade de chou rouge, avec sauce, préemballée	salades composées et crudités	103	1,23	4,73	3,9	8,25	0,73	2,25	-
